model,split,threshold,accuracy,precision,recall,f1,roc_auc
dummy_majority,validation,0.2,0.7967,0.0,0.0,0.0,0.5
dummy_majority,test,0.2,0.7958,0.0,0.0,0.0,0.5
logistic_regression,validation,0.78,0.9583,0.888,0.9098,0.8988,0.9901
logistic_regression,test,0.78,0.9542,0.8926,0.8816,0.8871,0.9881
random_forest,validation,0.68,0.9575,0.8971,0.8934,0.8953,0.9904
random_forest,test,0.68,0.9558,0.9034,0.8776,0.8903,0.9861
gradient_boosting,validation,0.49,0.9625,0.8964,0.9221,0.9091,0.9902
gradient_boosting,test,0.49,0.96,0.9087,0.8939,0.9012,0.9883
